period,sectorId,sector-name,fuelId,fuel-name,stateId,state-name,value,value-units
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,OH,Ohio,42.82166,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,WY,Wyoming,0.037564,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,WY,Wyoming,34.761544,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,US,United States,1532.041064,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,US,United States,660.185377,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,US,United States,20.518503,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,US,United States,851.337184,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,WY,Wyoming,35.36184,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,WY,Wyoming,0.562731,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,OK,Oklahoma,25.499749,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,OK,Oklahoma,15.671556,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,OK,Oklahoma,0.022765,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,OK,Oklahoma,9.805428,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,WI,Wisconsin,31.083373,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,WI,Wisconsin,9.533001,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,WI,Wisconsin,0.230425,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,WI,Wisconsin,21.319947,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,MO,Missouri,56.786482,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,MO,Missouri,4.142334,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,MO,Missouri,0.163033,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,MO,Missouri,52.481116,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,ND,North Dakota,27.930821,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,ND,North Dakota,0.718616,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,ND,North Dakota,0.02597,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,ND,North Dakota,27.186236,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,WV,West Virginia,51.417827,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,WV,West Virginia,0.949536,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,WV,West Virginia,0.122827,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,WV,West Virginia,50.345464,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,MS,Mississippi,26.753132,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,MS,Mississippi,20.598889,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,MS,Mississippi,0.005154,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,MS,Mississippi,6.149089,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,NC,North Carolina,40.082408,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,NC,North Carolina,25.296367,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,NC,North Carolina,0.218877,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,NC,North Carolina,14.567164,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,MN,Minnesota,19.89167,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,MN,Minnesota,3.745635,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,MN,Minnesota,0.042638,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,MN,Minnesota,16.103397,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,IL,Illinois,48.752945,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,IL,Illinois,7.797347,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,IL,Illinois,0.035889,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,IL,Illinois,40.919709,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,CT,Connecticut,9.247055,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,CT,Connecticut,8.978177,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,CT,Connecticut,0.268878,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,CT,Connecticut,0.0,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,IN,Indiana,68.576732,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,IN,Indiana,12.903104,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,IN,Indiana,0.099715,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,IN,Indiana,55.573912,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,GA,Georgia,40.434226,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,GA,Georgia,23.566982,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,GA,Georgia,0.160961,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,GA,Georgia,16.706282,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,DE,Delaware,2.001928,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,DE,Delaware,1.735388,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,DE,Delaware,0.089705,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,DE,Delaware,0.176835,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,HI,Hawaii,5.757056,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,HI,Hawaii,0.0,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,HI,Hawaii,5.021283,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,HI,Hawaii,0.735773,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,DC,District of Columbia,0.0,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,DC,District of Columbia,0.0,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,DC,District of Columbia,0.0,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,DC,District of Columbia,0.0,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,KY,Kentucky,55.730205,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,KY,Kentucky,7.470676,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,KY,Kentucky,0.112244,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,KY,Kentucky,48.147285,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,SC,South Carolina,24.705817,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,SC,South Carolina,10.32199,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,SC,South Carolina,0.148473,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,SC,South Carolina,14.235354,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,ME,Maine,0.121609,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,ME,Maine,1.731951,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,ME,Maine,1.379715,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,ME,Maine,0.230627,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,MI,Michigan,56.020847,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,MI,Michigan,17.856111,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,MI,Michigan,2.09751,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,MI,Michigan,36.067225,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,SD,South Dakota,2.658646,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,SD,South Dakota,0.669983,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,SD,South Dakota,0.019065,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,SD,South Dakota,1.969597,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,TO,All Fuels,LA,Louisiana,32.094999,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,NG,Natural Gas,LA,Louisiana,19.75288,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,PE,Petroleum,LA,Louisiana,3.533658,million metric tons of CO2
2022,EC,Electric Power carbon dioxide emissions,CO,Coal,LA,Louisiana,8.808461,million metric tons of CO2
